f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f jL1m jL1f jL2m jL2f jV0500m jV0500f jV0600m jV0600f jV0700m jV0700f jV0200m jV0200f 
3.85353 0.000788398 -90.0014 0 0 8.75998e-005 89.9989 0.445697 8.93663e-006 0 0 1 0 0 180 0.00361797 180 7.88398e-009 89.9986 4.31657e-012 90 3.72947e-010 -90 2.92088e-010 90.0002 1.11424e-005 180 
3.94421 0.00080695 -90.0014 0 0 8.96611e-005 89.9988 0.445697 9.14692e-006 0 0 1 0 0 180 0.00361797 180 8.0695e-009 89.9986 4.41814e-012 90 3.81723e-010 -90 2.98961e-010 90.0002 1.11424e-005 180 
4.03702 0.000825938 -90.0015 0 0 9.17709e-005 89.9988 0.445697 9.36215e-006 0 0 1 0 0 180 0.00361797 180 8.25938e-009 89.9985 4.5221e-012 90 3.90705e-010 -90 3.05996e-010 90.0002 1.11424e-005 180 
4.13201 0.000845373 -90.0015 0 0 9.39304e-005 89.9988 0.445697 9.58246e-006 0 0 1 0 0 180 0.00361797 180 8.45373e-009 89.9985 4.62851e-012 90 3.99899e-010 -90 3.13196e-010 90.0002 1.11424e-005 180 
4.22924 0.000865266 -90.0015 0 0 9.61407e-005 89.9988 0.445697 9.80794e-006 0 0 1 0 0 180 0.00361797 180 8.65266e-009 89.9985 4.73743e-012 90 4.09309e-010 -90 3.20566e-010 90.0002 1.11424e-005 180 
4.32876 0.000885626 -90.0016 0 0 9.84029e-005 89.9987 0.445697 1.00387e-005 0 0 1 0 0 180 0.00361797 180 8.85626e-009 89.9984 4.8489e-012 90 4.1894e-010 -90 3.28109e-010 90.0002 1.11424e-005 180 
4.43062 0.000906466 -90.0016 0 0 0.000100718 89.9987 0.445697 1.0275e-005 0 0 1 0 0 180 0.00361797 180 9.06466e-009 89.9984 4.963e-012 90 4.28799e-010 -90 3.3583e-010 90.0002 1.11424e-005 180 
4.53488 0.000927796 -90.0016 0 0 0.000103088 89.9987 0.445697 1.05167e-005 0 0 1 0 0 180 0.00361797 180 9.27796e-009 89.9984 5.07979e-012 90 4.38889e-010 -90 3.43732e-010 90.0002 1.11424e-005 180 
4.64159 0.000949628 -90.0017 0 0 0.000105514 89.9986 0.445697 1.07642e-005 0 0 1 0 0 180 0.00361797 180 9.49628e-009 89.9983 5.19932e-012 90 4.49216e-010 -90 3.51821e-010 90.0002 1.11424e-005 180 
4.75081 0.000971974 -90.0017 0 0 0.000107997 89.9986 0.445697 1.10175e-005 0 0 1 0 0 180 0.00361797 180 9.71974e-009 89.9983 5.32167e-012 90 4.59787e-010 -90 3.60099e-010 90.0002 1.11424e-005 180 
4.8626 0.000994845 -90.0018 0 0 0.000110538 89.9986 0.445697 1.12767e-005 0 0 1 0 0 180 0.00361797 180 9.94845e-009 89.9982 5.44689e-012 90 4.70606e-010 -90 3.68573e-010 90.0002 1.11424e-005 180 
4.97702 0.00101826 -90.0018 0 0 0.000113139 89.9985 0.445697 1.15421e-005 0 0 1 0 0 180 0.00361797 180 1.01826e-008 89.9982 5.57506e-012 90 4.8168e-010 -90 3.77246e-010 90.0002 1.11424e-005 180 
5.09414 0.00104222 -90.0018 0 0 0.000115802 89.9985 0.445697 1.18137e-005 0 0 1 0 0 180 0.00361797 180 1.04222e-008 89.9982 5.70625e-012 90 4.93014e-010 -90 3.86123e-010 90.0002 1.11424e-005 179.999 
5.21401 0.00106674 -90.0019 0 0 0.000118527 89.9985 0.445697 1.20917e-005 0 0 1 0 0 180 0.00361797 180 1.06674e-008 89.9981 5.84052e-012 90 5.04615e-010 -90 3.95209e-010 90.0002 1.11424e-005 179.999 
5.3367 0.00109184 -90.0019 0 0 0.000121316 89.9984 0.445697 1.23762e-005 0 0 1 0 0 180 0.00361797 180 1.09184e-008 89.9981 5.97796e-012 90 5.16489e-010 -90 4.04508e-010 90.0002 1.11424e-005 179.999 
5.46228 0.00111753 -90.002 0 0 0.00012417 89.9984 0.445697 1.26674e-005 0 0 1 0 0 180 0.00361797 180 1.11753e-008 89.998 6.11862e-012 90 5.28643e-010 -90 4.14027e-010 90.0002 1.11424e-005 179.999 
5.59081 0.00114383 -90.002 0 0 0.000127092 89.9984 0.445697 1.29655e-005 0 0 1 0 0 180 0.00361797 180 1.14383e-008 89.998 6.2626e-012 90 5.41082e-010 -90 4.23769e-010 90.0003 1.11424e-005 179.999 
5.72237 0.00117075 -90.0021 0 0 0.000130083 89.9983 0.445697 1.32706e-005 0 0 1 0 0 180 0.00361797 180 1.17075e-008 89.9979 6.40997e-012 90 5.53815e-010 -90 4.33741e-010 90.0003 1.11424e-005 179.999 
5.85702 0.00119829 -90.0021 0 0 0.000133144 89.9983 0.445697 1.35829e-005 0 0 1 0 0 180 0.00361797 180 1.19829e-008 89.9979 6.5608e-012 90 5.66846e-010 -90 4.43947e-010 90.0003 1.11424e-005 179.999 
5.99484 0.00122649 -90.0022 0 0 0.000136277 89.9982 0.445697 1.39025e-005 0 0 1 0 0 180 0.00361797 180 1.22649e-008 89.9978 6.71518e-012 90 5.80185e-010 -90 4.54394e-010 90.0003 1.11424e-005 179.999 
6.13591 0.00125535 -90.0022 0 0 0.000139484 89.9982 0.445697 1.42296e-005 0 0 1 0 0 180 0.00361797 180 1.25535e-008 89.9978 6.8732e-012 90 5.93837e-010 -90 4.65086e-010 90.0003 1.11424e-005 179.999 
6.28029 0.00128489 -90.0023 0 0 0.000142766 89.9982 0.445697 1.45645e-005 0 0 1 0 0 180 0.00361797 180 1.28489e-008 89.9977 7.03493e-012 90 6.07811e-010 -90 4.7603e-010 90.0003 1.11424e-005 179.999 
6.42807 0.00131513 -90.0023 0 0 0.000146125 89.9981 0.445697 1.49072e-005 0 0 1 0 0 180 0.00361797 180 1.31513e-008 89.9977 7.20047e-012 90 6.22113e-010 -90 4.87232e-010 90.0003 1.11424e-005 179.999 
6.57933 0.00134607 -90.0024 0 0 0.000149564 89.9981 0.445697 1.5258e-005 0 0 1 0 0 180 0.00361797 180 1.34607e-008 89.9976 7.3699e-012 90 6.36752e-010 -90 4.98697e-010 90.0003 1.11424e-005 179.999 
