f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f jV0500m jV0500f jV0800m jV0800f jV1000m jV1000f jV1400m jV1400f jV1500m jV1500f 
1.91791 0.484519 -179.997 0.999241 -4.17037e-006 0.00221824 0.00206167 0.781943 -2.08374e-006 0 0 0.00177155 -179.997 0.00140925 -179.997 0 0 0.002201 -179.998 1 0 0.000533554 179.991 0.00175796 0.00267083 0.00173333 -179.997 0 0 0 0 3.76915e-015 90 6.79293e-018 -89.9973 1.28892e-014 -90 9.08879e-017 -89.9973 3.23972e-007 -180 
1.96304 0.484519 -179.997 0.999241 -4.2685e-006 0.00221824 0.00211018 0.781943 -2.13277e-006 0 0 0.00177155 -179.997 0.00140925 -179.997 0 0 0.002201 -179.998 1 0 0.000533554 179.991 0.00175796 0.00273367 0.00173333 -179.997 0 0 0 0 3.85784e-015 90 6.95278e-018 -89.9973 1.31925e-014 -90 9.30266e-017 -89.9973 3.23972e-007 -180 
2.00923 0.484519 -179.997 0.999241 -4.36895e-006 0.00221824 0.00215984 0.781943 -2.18296e-006 0 0 0.00177155 -179.997 0.00140925 -179.997 0 0 0.002201 -179.998 1 0 0.000533554 179.991 0.00175796 0.002798 0.00173333 -179.997 0 0 0 0 3.94862e-015 90 7.11638e-018 -89.9972 1.35029e-014 -90 9.52156e-017 -89.9972 3.23972e-007 -179.999 
2.05651 0.484519 -179.997 0.999241 -4.47175e-006 0.00221824 0.00221066 0.781943 -2.23432e-006 0 0 0.00177155 -179.997 0.00140925 -179.997 0 0 0.002201 -179.998 1 0 0.000533554 179.991 0.00175796 0.00286384 0.00173333 -179.997 0 0 0 0 4.04153e-015 90 7.28384e-018 -89.9971 1.38206e-014 -90 9.74561e-017 -89.9971 3.23972e-007 -179.999 
2.1049 0.484519 -179.997 0.999241 -4.57698e-006 0.00221824 0.00226268 0.781943 -2.2869e-006 0 0 0.00177155 -179.997 0.00140925 -179.997 0 0 0.002201 -179.998 1 0 0.000533554 179.991 0.00175796 0.00293123 0.00173333 -179.997 0 0 0 0 4.13663e-015 90 7.45524e-018 -89.9971 1.41459e-014 -90 9.97494e-017 -89.9971 3.23972e-007 -179.999 
2.15443 0.484519 -179.997 0.999241 -4.68468e-006 0.00221824 0.00231592 0.781943 -2.34071e-006 0 0 0.00177155 -179.997 0.00140925 -179.997 0 0 0.002201 -179.998 1 0 0.000533554 179.99 0.00175796 0.0030002 0.00173333 -179.997 0 0 0 0 4.23397e-015 90 7.63067e-018 -89.997 1.44787e-014 -90 1.02097e-016 -89.997 3.23972e-007 -179.999 
2.20513 0.484519 -179.997 0.999241 -4.79491e-006 0.00221824 0.00237042 0.781943 -2.39579e-006 0 0 0.00177155 -179.997 0.00140925 -179.997 0 0 0.002201 -179.998 1 0 0.000533554 179.99 0.00175796 0.0030708 0.00173333 -179.997 0 0 0 0 4.3336e-015 90 7.81022e-018 -89.9969 1.48194e-014 -90 1.04499e-016 -89.9969 3.23972e-007 -179.999 
2.25702 0.484519 -179.997 0.999241 -4.90774e-006 0.00221824 0.0024262 0.781943 -2.45217e-006 0 0 0.00177155 -179.997 0.00140925 -179.997 0 0 0.002201 -179.998 1 0 0.000533554 179.99 0.00175796 0.00314306 0.00173333 -179.997 0 0 0 0 4.43558e-015 90 7.99401e-018 -89.9968 1.51681e-014 -90 1.06958e-016 -89.9968 3.23972e-007 -179.999 
2.31013 0.484519 -179.997 0.999241 -5.02323e-006 0.00221824 0.00248329 0.781943 -2.50987e-006 0 0 0.00177155 -179.997 0.00140925 -179.997 0 0 0.002201 -179.998 1 0 0.000533554 179.99 0.00175796 0.00321702 0.00173333 -179.997 0 0 0 0 4.53995e-015 90 8.18211e-018 -89.9968 1.55251e-014 -90 1.09475e-016 -89.9968 3.23972e-007 -179.999 
2.36449 0.484519 -179.997 0.999241 -5.14143e-006 0.00221824 0.00254172 0.781943 -2.56893e-006 0 0 0.00177155 -179.997 0.00140925 -179.997 0 0 0.002201 -179.997 1 0 0.000533554 179.99 0.00175796 0.00329272 0.00173333 -179.997 0 0 0 0 4.64678e-015 90 8.37465e-018 -89.9967 1.58904e-014 -90 1.12051e-016 -89.9967 3.23972e-007 -179.999 
2.42013 0.484519 -179.997 0.999241 -5.26241e-006 0.00221824 0.00260153 0.781943 -2.62938e-006 0 0 0.00177155 -179.997 0.00140925 -179.997 0 0 0.002201 -179.997 1 0 0.000533554 179.989 0.00175796 0.0033702 0.00173333 -179.997 0 0 0 0 4.75612e-015 90 8.57171e-018 -89.9966 1.62643e-014 -90 1.14688e-016 -89.9966 3.23972e-007 -179.999 
2.47708 0.484519 -179.997 0.999241 -5.38624e-006 0.00221824 0.00266275 0.781943 -2.69125e-006 0 0 0.00177155 -179.997 0.00140925 -179.997 0 0 0.002201 -179.997 1 0 0.000533554 179.989 0.00175796 0.0034495 0.00173333 -179.997 0 0 0 0 4.86804e-015 90 8.77341e-018 -89.9965 1.6647e-014 -90 1.17386e-016 -89.9965 3.23972e-007 -179.999 
2.53536 0.484519 -179.996 0.999241 -5.51298e-006 0.00221824 0.00272541 0.781943 -2.75458e-006 0 0 0.00177155 -179.996 0.00140925 -179.996 0 0 0.002201 -179.997 1 0 0.000533554 179.989 0.00175796 0.00353067 0.00173333 -179.996 0 0 0 0 4.98259e-015 90 8.97986e-018 -89.9965 1.70387e-014 -90 1.20148e-016 -89.9965 3.23972e-007 -179.999 
2.59502 0.484519 -179.996 0.999241 -5.64271e-006 0.00221824 0.00278954 0.781943 -2.8194e-006 0 0 0.00177155 -179.996 0.00140925 -179.996 0 0 0.002201 -179.997 1 0 0.000533554 179.988 0.00175796 0.00361375 0.00173333 -179.996 0 0 0 0 5.09984e-015 90 9.19116e-018 -89.9964 1.74397e-014 -90 1.22976e-016 -89.9964 3.23972e-007 -179.999 
