f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f 17m 17f 18m 18f 19m 19f 20m 20f 21m 21f 22m 22f 23m 23f 24m 24f jV0013m jV0013f jV0014m jV0014f jV0015m jV0015f jV0016m jV0016f jV0017m jV0017f jV0018m jV0018f jV0020m jV0020f jV0019m jV0019f jV0022m jV0022f jV0021m jV0021f jV0024m jV0024f jV0023m jV0023f jV0100m jV0100f jV0200m jV0200f jV0300m jV0300f jV0400m jV0400f jV0500m jV0500f jV0600m jV0600f jV0800m jV0800f jV0700m jV0700f jV1000m jV1000f jV0900m jV0900f jV1200m jV1200f jV1100m jV1100f 
166810 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 9.08352e-009 -90 0.00022 0.00209271 1.25772e-008 -90 0.0001005 0.00358517 1.25772e-008 -90 1.0481e-009 90 9.08352e-009 -90 0.00022 180 1.25772e-008 -90 0.0001005 179.996 1.25772e-008 -90 1.0481e-009 90 3.63341e-009 -90 0.00022 0.000837083 5.03087e-009 -90 0.0001005 0.00143407 5.03087e-009 -90 4.19239e-010 90 3.63341e-009 -90 0.00022 180 5.03087e-009 -90 0.0001005 179.999 5.03087e-009 -90 4.19239e-010 90 
215443 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 1.17318e-008 -90 0.00022 0.00270284 1.62441e-008 -90 0.0001005 0.00463043 1.62441e-008 -90 1.35367e-009 90 1.17318e-008 -90 0.00022 180 1.62441e-008 -90 0.0001005 179.995 1.62441e-008 -90 1.35367e-009 90 4.69273e-009 -90 0.00022 0.00108113 6.49762e-009 -90 0.0001005 0.00185217 6.49762e-009 -90 5.41468e-010 90 4.69273e-009 -90 0.00022 180 6.49762e-009 -90 0.0001005 179.998 6.49762e-009 -90 5.41468e-010 90 
278256 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 1.51522e-008 -90 0.00022 0.00349085 2.098e-008 -90 0.0001005 0.00598043 2.098e-008 -90 1.74833e-009 90 1.51522e-008 -90 0.00022 180 2.098e-008 -90 0.0001005 179.994 2.098e-008 -90 1.74833e-009 90 6.06089e-009 -90 0.00022 0.00139634 8.392e-009 -90 0.0001005 0.00239217 8.392e-009 -90 6.99333e-010 90 6.06089e-009 -90 0.00022 180 8.392e-009 -90 0.0001005 179.998 8.392e-009 -90 6.99333e-010 90 
359381 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 1.95699e-008 -90 0.00022 0.0045086 2.70967e-008 -90 0.0001005 0.00772402 2.70967e-008 -90 2.25806e-009 90 1.95699e-008 -90 0.00022 179.999 2.70967e-008 -90 0.0001005 179.992 2.70967e-008 -90 2.25806e-009 90 7.82794e-009 -90 0.00022 0.00180344 1.08387e-008 -90 0.0001005 0.00308961 1.08387e-008 -90 9.03224e-010 90 7.82794e-009 -90 0.00022 180 1.08387e-008 -90 0.0001005 179.997 1.08387e-008 -90 9.03224e-010 90 
464159 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 2.52754e-008 -90 0.00022 0.00582308 3.49968e-008 -90 0.0001005 0.00997595 3.49968e-008 -90 2.9164e-009 90 2.52754e-008 -90 0.00022 179.999 3.49968e-008 -90 0.0001005 179.99 3.49968e-008 -90 2.9164e-009 90 1.01102e-008 -90 0.00022 0.00232923 1.39987e-008 -90 0.0001005 0.00399038 1.39987e-008 -90 1.16656e-009 90 1.01102e-008 -90 0.00022 180 1.39987e-008 -90 0.0001005 179.996 1.39987e-008 -90 1.16656e-009 90 
599484 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 3.26445e-008 -90 0.00022 0.0075208 4.52e-008 -90 0.0001005 0.0128844 4.52e-008 -90 3.76667e-009 90 3.26445e-008 -90 0.00022 179.999 4.52e-008 -90 0.0001005 179.987 4.52e-008 -90 3.76667e-009 90 1.30578e-008 -90 0.00022 0.00300832 1.808e-008 -90 0.0001005 0.00515378 1.808e-008 -90 1.50667e-009 90 1.30578e-008 -90 0.00022 180 1.808e-008 -90 0.0001005 179.995 1.808e-008 -90 1.50667e-009 90 
774264 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 4.2162e-008 -90 0.00022 0.00971349 5.83781e-008 -90 0.0001005 0.0166409 5.83781e-008 -90 4.86484e-009 90 4.2162e-008 -90 0.00022 179.999 5.83781e-008 -90 0.0001005 179.983 5.83781e-008 -90 4.86484e-009 90 1.68648e-008 -90 0.00022 0.0038854 2.33512e-008 -90 0.0001005 0.00665636 2.33512e-008 -90 1.94594e-009 90 1.68648e-008 -90 0.00022 179.999 2.33512e-008 -90 0.0001005 179.993 2.33512e-008 -90 1.94594e-009 90 
1e+006 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 5.44543e-008 -90 0.00022 0.0125455 7.53982e-008 -90 0.0001005 0.0214925 7.53982e-008 -90 6.28319e-009 90 5.44543e-008 -90 0.00022 179.998 7.53982e-008 -90 0.0001005 179.979 7.53982e-008 -90 6.28319e-009 90 2.17817e-008 -90 0.00022 0.00501818 3.01593e-008 -90 0.0001005 0.00859701 3.01593e-008 -90 2.51327e-009 90 2.17817e-008 -90 0.00022 179.999 3.01593e-008 -90 0.0001005 179.991 3.01593e-008 -90 2.51327e-009 90 
1.29155e+006 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 7.03304e-008 -90 0.00022 0.0162031 9.73806e-008 -90 0.0001005 0.0277587 9.73806e-008 -90 8.11505e-009 90 7.03304e-008 -90 0.00022 179.998 9.73806e-008 -90 0.0001005 179.972 9.73806e-008 -90 8.11505e-009 90 2.81322e-008 -90 0.00022 0.00648123 3.89522e-008 -90 0.0001005 0.0111035 3.89522e-008 -90 3.24602e-009 90 2.81322e-008 -90 0.00022 179.999 3.89522e-008 -90 0.0001005 179.989 3.89522e-008 -90 3.24602e-009 90 
1.6681e+006 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 9.08352e-008 -90 0.00022 0.0209271 1.25772e-007 -90 0.0001005 0.0358517 1.25772e-007 -90 1.0481e-008 90 9.08352e-008 -90 0.00022 179.997 1.25772e-007 -90 0.0001005 179.964 1.25772e-007 -90 1.0481e-008 90 3.63341e-008 -90 0.00022 0.00837083 5.03087e-008 -90 0.0001005 0.0143407 5.03087e-008 -90 4.19239e-009 90 3.63341e-008 -90 0.00022 179.999 5.03087e-008 -90 0.0001005 179.986 5.03087e-008 -90 4.19239e-009 90 
